level,name,code,priority,sample_keywords
country,United States,US,1,air ambulance from united states to israel | medical flight united states israel | medical repatriation united states
country,Canada,CA,1,air ambulance from canada to israel | medical flight canada israel | medical repatriation canada
country,United Kingdom,GB,1,air ambulance from united kingdom to israel | medical flight united kingdom israel | medical repatriation united kingdom
country,France,FR,1,air ambulance from france to israel | medical flight france israel | medical repatriation france
country,Germany,DE,1,air ambulance from germany to israel | medical flight germany israel | medical repatriation germany
country,Switzerland,CH,1,air ambulance from switzerland to israel | medical flight switzerland israel | medical repatriation switzerland
country,Italy,IT,1,air ambulance from italy to israel | medical flight italy israel | medical repatriation italy
country,Spain,ES,2,air ambulance from spain to israel | medical flight spain israel | medical repatriation spain
country,Portugal,PT,2,air ambulance from portugal to israel | medical flight portugal israel | medical repatriation portugal
country,Netherlands,NL,2,air ambulance from netherlands to israel | medical flight netherlands israel | medical repatriation netherlands
country,Belgium,BE,2,air ambulance from belgium to israel | medical flight belgium israel | medical repatriation belgium
country,Austria,AT,2,air ambulance from austria to israel | medical flight austria israel | medical repatriation austria
country,Ireland,IE,2,air ambulance from ireland to israel | medical flight ireland israel | medical repatriation ireland
country,Greece,GR,1,air ambulance from greece to israel | medical flight greece israel | medical repatriation greece
country,Cyprus,CY,1,air ambulance from cyprus to israel | medical flight cyprus israel | medical repatriation cyprus
country,Poland,PL,2,air ambulance from poland to israel | medical flight poland israel | medical repatriation poland
country,Czech Republic,CZ,2,air ambulance from czech republic to israel | medical flight czech republic israel | medical repatriation czech republic
country,Hungary,HU,2,air ambulance from hungary to israel | medical flight hungary israel | medical repatriation hungary
country,Romania,RO,2,air ambulance from romania to israel | medical flight romania israel | medical repatriation romania
country,Bulgaria,BG,2,air ambulance from bulgaria to israel | medical flight bulgaria israel | medical repatriation bulgaria
country,Croatia,HR,2,air ambulance from croatia to israel | medical flight croatia israel | medical repatriation croatia
country,Serbia,RS,2,air ambulance from serbia to israel | medical flight serbia israel | medical repatriation serbia
country,Slovenia,SI,3,air ambulance from slovenia to israel | medical flight slovenia israel | medical repatriation slovenia
country,Montenegro,ME,2,air ambulance from montenegro to israel | medical flight montenegro israel | medical repatriation montenegro
country,Georgia,GE,2,air ambulance from georgia to israel | medical flight georgia israel | medical repatriation georgia
country,United Arab Emirates,AE,1,air ambulance from united arab emirates to israel | medical flight united arab emirates israel | medical repatriation united arab emirates
country,Thailand,TH,1,air ambulance from thailand to israel | medical flight thailand israel | medical repatriation thailand
country,Japan,JP,2,air ambulance from japan to israel | medical flight japan israel | medical repatriation japan
country,Singapore,SG,2,air ambulance from singapore to israel | medical flight singapore israel | medical repatriation singapore
country,Australia,AU,2,air ambulance from australia to israel | medical flight australia israel | medical repatriation australia
country,South Africa,ZA,2,air ambulance from south africa to israel | medical flight south africa israel | medical repatriation south africa
country,Morocco,MA,2,air ambulance from morocco to israel | medical flight morocco israel | medical repatriation morocco
city,New York,US,2,air ambulance new york to israel | medical flight new york israel | patient transfer new york israel
city,Miami,US,2,air ambulance miami to israel | medical flight miami israel | patient transfer miami israel
city,Fort Lauderdale,US,2,air ambulance fort lauderdale to israel | medical flight fort lauderdale israel | patient transfer fort lauderdale israel
city,Boston,US,2,air ambulance boston to israel | medical flight boston israel | patient transfer boston israel
city,Los Angeles,US,2,air ambulance los angeles to israel | medical flight los angeles israel | patient transfer los angeles israel
city,San Francisco,US,2,air ambulance san francisco to israel | medical flight san francisco israel | patient transfer san francisco israel
city,Chicago,US,2,air ambulance chicago to israel | medical flight chicago israel | patient transfer chicago israel
city,Houston,US,2,air ambulance houston to israel | medical flight houston israel | patient transfer houston israel
city,Washington DC,US,2,air ambulance washington dc to israel | medical flight washington dc israel | patient transfer washington dc israel
city,Atlanta,US,2,air ambulance atlanta to israel | medical flight atlanta israel | patient transfer atlanta israel
city,Philadelphia,US,2,air ambulance philadelphia to israel | medical flight philadelphia israel | patient transfer philadelphia israel
city,Toronto,CA,2,air ambulance toronto to israel | medical flight toronto israel | patient transfer toronto israel
city,Montreal,CA,2,air ambulance montreal to israel | medical flight montreal israel | patient transfer montreal israel
city,Vancouver,CA,2,air ambulance vancouver to israel | medical flight vancouver israel | patient transfer vancouver israel
city,London,GB,2,air ambulance london to israel | medical flight london israel | patient transfer london israel
city,Manchester,GB,2,air ambulance manchester to israel | medical flight manchester israel | patient transfer manchester israel
city,Dublin,IE,2,air ambulance dublin to israel | medical flight dublin israel | patient transfer dublin israel
city,Paris,FR,2,air ambulance paris to israel | medical flight paris israel | patient transfer paris israel
city,Nice,FR,2,air ambulance nice to israel | medical flight nice israel | patient transfer nice israel
city,Lyon,FR,2,air ambulance lyon to israel | medical flight lyon israel | patient transfer lyon israel
city,Marseille,FR,2,air ambulance marseille to israel | medical flight marseille israel | patient transfer marseille israel
