negative_keyword,match_type,level,campaign
הטסה רפואית,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
טיסה רפואית,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
אמבולנס אווירי,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
air ambulance,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
medical flight,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
מדא,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
מד״א,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
101,Exact,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
עבודה,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
דרושים,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
קורס,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
תיירות מרפא,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
תל אביב,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
חיפה,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
ירושלים,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
באר שבע,Phrase,Campaign,IAA | Search | אמבולנס העברות · טבריה צפת
